songName,artistName,genreName,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
Stop The Show,The Alchemist,alternative hip hop,0.000262,0.665,0.866,0.000547,0.221,-7.419,0.273,84.009
D Block 2 Qb,The Alchemist,alternative hip hop,0.276,0.476,0.796,0,0.385,-5.771,0.309,86.73
Bangers,The Alchemist,alternative hip hop,0.0572,0.719,0.563,0,0.534,-6.98,0.311,87.001
Where Can We Go,The Alchemist,alternative hip hop,0.227,0.684,0.721,0.000331,0.692,-5.534,0.149,83.98
It Is A Craze,The Alchemist,alternative hip hop,0.00688,0.609,0.882,0.000319,0.552,-7.425,0.436,91.847
For The Record,The Alchemist,alternative hip hop,0.0346,0.425,0.827,0,0.54,-7.079,0.407,80.852
Boost The Crime Rate,The Alchemist,alternative hip hop,0.597,0.67,0.717,0.0000118,0.128,-6.929,0.303,89.438
Strength In Pain,The Alchemist,alternative hip hop,0.265,0.6,0.717,0,0.098,-4.902,0.214,78.834
A Soul Assassins Tale,The Alchemist,alternative hip hop,0.588,0.524,0.409,0.00000107,0.435,-16.44,0.895,87.296
Bang Out,The Alchemist,alternative hip hop,0.25,0.763,0.795,0,0.548,-4.485,0.489,85.088
Tick Tock,The Alchemist,alternative hip hop,0.187,0.661,0.631,0,0.537,-4.66,0.21,89.055
Pimp Squad,The Alchemist,alternative hip hop,0.0786,0.741,0.734,0,0.544,-7.974,0.363,87.078
Different World,The Alchemist,alternative hip hop,0.151,0.758,0.865,0,0.0546,-6.276,0.195,89.929
Morning Prayer ,The Alchemist,alternative hip hop,0.858,0.516,0.624,0.416,0.314,-7.975,0.0603,133.911
Looking for a Blessing,The Alchemist,alternative hip hop,0.794,0.509,0.767,0.178,0.785,-8.854,0.0859,139.077
Pray for You,The Alchemist,alternative hip hop,0.266,0.621,0.592,0,0.3,-7.031,0.105,88.574
On a Solid Rock,The Alchemist,alternative hip hop,0.207,0.379,0.649,0.611,0.121,-8.721,0.0764,143.182
A Thousand Birds,The Alchemist,alternative hip hop,0.433,0.511,0.681,0,0.622,-8.312,0.316,138.928
Church Organ Needs Maintenance,The Alchemist,alternative hip hop,0.524,0.571,0.685,0.896,0.437,-8.541,0.168,140.6
Floor Seats,The Alchemist,alternative hip hop,0.617,0.407,0.669,0.000586,0.689,-7.879,0.085,86.66
No Mystery God,The Alchemist,alternative hip hop,0.509,0.463,0.719,0.00000458,0.637,-7.75,0.22,86.988
You Better Listen,The Alchemist,alternative hip hop,0.126,0.492,0.641,0.192,0.814,-9.034,0.0688,94.445
Message for the People,The Alchemist,alternative hip hop,0.429,0.725,0.678,0,0.645,-9.072,0.296,97.904
Try My Hand,The Alchemist,alternative hip hop,0.709,0.538,0.676,0.0000592,0.243,-7.376,0.22,87.018
Crisis,The Alchemist,alternative hip hop,0.834,0.563,0.518,0.785,0.448,-12.176,0.0799,82.398
Find a Way,The Alchemist,alternative hip hop,0.261,0.483,0.709,0.0000234,0.666,-8.469,0.343,76.089
Forgive Me,The Alchemist,alternative hip hop,0.271,0.461,0.517,0.015,0.65,-9.882,0.306,184.478
God Loves You,The Alchemist,alternative hip hop,0.423,0.681,0.655,0.0186,0.261,-8.103,0.0495,79.726
Brother Jedidiah,The Alchemist,alternative hip hop,0.416,0.577,0.864,0.000772,0.471,-5.618,0.378,72.842
Something You Cant Buy,The Alchemist,alternative hip hop,0.778,0.529,0.633,0.000843,0.617,-7.681,0.115,78.814
Stuck in a Box,The Alchemist,alternative hip hop,0.527,0.566,0.569,0.000578,0.449,-6.505,0.0505,77.911
Storm Coming,The Alchemist,alternative hip hop,0.12,0.596,0.63,0.018,0.368,-9.871,0.212,93.845
Troubles,The Alchemist,alternative hip hop,0.353,0.731,0.517,0.000386,0.887,-8.208,0.298,92.714
Forever,The Alchemist,alternative hip hop,0.458,0.336,0.499,0.000294,0.407,-11.201,0.0446,139.358
